RequirementText,_class_
Only authorized user shall access the RFS system. ONLY users that exist in the UAS system  with the RFS system assigned to their role(s)  shall access the RFS system and use it.,SE
User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,SE
The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group  prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,LF
The intranet pages should display appropriately in all resolutions  from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions  prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,LF
The users should be able to easily use the system to successfully complete their budgets  within the stipulated time for completion. With a week of training prior to product implementation  98% of the users shall complete their budgets within the stipulated time.,US
The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time  the response time should not be more than 10 seconds.not be more than 10 seconds.,PE
The system shall operate on Unix and Windows operating systems.,PO
"The system shall be evoked by typing ""pine"" into a command or shell prompt.",O
The system shall use the SMTP mail protocol.,O
The system shall use a text-based interface to display a listing of available mail.,LF
The system shall have a help system that offers tips and explanation for each screen and each item on the screens upon demand.,US
The meeting scheduler shall be accessed from the Web.,O
The system must be easy to use by both managers and chefs such that they do not need to read an extensive amount of manuals.,US
The system must be quickly accessible by both managers and chefs.,US
The system must be intuitive and simple in the way it displays all relevant data and relationships.,US
The menus of the system must be easily navigable by the users with buttons that are easy to understand.,US
All the functions of the system must be available to the user every time the system is turned on.,A
The calculations performed by the system must comply according to the norms set by the user and should not vary unless explicitly changed by the user.,L
The client should agree to EULA before using our software.,L
All Web pages generated by the system shall be fully downloadable in no more than 10 seconds over a 40KBps modem connection.,PE
Responses to queries shall take no longer than 7 seconds to load onto the screen after the user submits the query.,PE
The system shall display confirmation messages to users within 4 seconds after the user submits information to the system.,PE
All network transactions that involve financial information or personally identifiable information shall be encrypted.,SE
Patrons shall log in according to the restricted computer system access policy.,SE
Only users who have been authorized for home access to the corporate Intranet may use the COS from non-company locations.,SE
Programmers and application developers will have access to source code to address bugs or system enhancements as deemed necessary. Network Administrator and DBA support is also required to maintain a 24x7 system uptime.,A
System security and access levels are provided in the online system. There are varying levels of system access and functional authority. Each student's access is limited to his/her own registration records. Only authorized system administrator(s) has access to all student registration records.,SE
All data entry forms for the application should match their Microsoft Excel hardcopy counterparts as closely as possible. Hardcopies of these forms were provided to the design team during the second requirements interview.,O
95% of users will not need to read the user manual to be able to use the application.,US
Changes made to the Manage My ID website can be adopted without altering the iOS application.,MN
The application should be connected to the Internet.,A
The application should be connected to the GPS device.,A
The application should be easy to extend. The code should be written in a way that it favors implementation of new functions.,MN
Test environments should be built for the application to allow testing of the applications different functions.,MN
The application should be portable with iOS and Android.,PO
The system shall show a tabbed display (or equivalent functionality) with the campus map on one tab and info on the most recently announced building on the other.,LF
The system shall allow the user to scroll the campus map from the campus map tab.,US
The campus map shall provide visual clues regarding what areas have prepared audio and therefore may be selected.,LF
The campus map shall have a pause/resume button. The pause and resume button will allow the user to scroll and select other buildings without being interrupted by the automatic search and announce feature.,LF
The system shall provide a way to return to the startup screen.,US
The system should use the company colors and logos.,LF
The system shall be capable of restoring itself to its previous state in the event of failure (e.g. a system crash or power loss).,FT
The system shall be able to display a menu at all times to facilitate manual order taking should the need arise.,LF
The system shall utilise periodic 30-second keep-alive messages between tablets and the server to monitor tablet operational status.,O
The system shall flag tablets that fail to send timely keep-alive messages as non-operational and disassociate the assigned waiter from the tablet.,FT
A waiter password used for tablet login must have a bit-strength of at least 64 bits.,SE
A waiter password used for tablet login must be changed every three months.,SE
A waiter shall only be able to log into one tablet at any given instance of time.,SE
A waiter that attempts to log into a second tablet while already logged into another tablet shall be rejected and notified through both tablets.,SE
A display shall not require a user to log in.,SE
A surface computer shall not require a user to log in.,SE
A tablet shall require a user to log in using a username and password.,SE
The system will fully function in major browsers.,PO
The system will support mobile users in some way.,PO
Responses to view information shall take no longer than 5 seconds to appear on the screen.,PE
The system shall accommodate large data items without fault.,FT
System will use secured database.,SE
Unauthorised users can only read data without modifying anything.,SE
ABS shall handle all expected and unexpected errors in ways that prevent loss in information and long downtime period.,FT
Information transmission should be securely transmitted to server without any changes in information.,SE
Be intuitive even to first time users,LF
Flea Market system will interface with the web server and RDBMS software using APIs provided by the implementation language,O
All transactions at the Flea Market require a valid user ID and password.,SE
Secure data transfer over the Internet could be provided using SSL encryption that will be configured by the host system administrator.,SE
The IP addresses where the transaction was made from will be logged.,SE
User passwords will be stored in the database in an encrypted format.,SE
Detailed documentation of the code and SRS will enable easy maintenance of the Flea Market.,MN
It must only update the parts that have changed when connecting to the server.,O
It must be able to change and update information on the server.,O
The application must log the user out when it is exited.,SE
A correct combination of username and password is required for a user to login.,SE
It should give a drill-down view of all data in the medical record after logging in.,LF
Logout must be automatic after 1 hour of inactivity.,SE
Full data backups must be created daily.,SE
Each account must securely store all of its data.,SE
The system should have to keep the location where the doughnut will be send.,O
The website is available whenever the users want to use it.,A
The system use SSL (secured socket layer) in all transactions that include any confidential customer information.,SE
The system must automatically log out all customers after a period of inactivity.,SE
The system should not leave any cookies on the customer's computer containing the user's password.,SE
The system's back-end servers shall only be accessible to authenticated administrators.,SE
Sensitive data will be encrypted before being sent over insecure connections like the internet.,SE
The system provides storage of all databases on redundant computers with automatic switchover.,O
The reliability of the overall program depends on the reliability of the separate components. The main pillar of reliability of the system is the backup of the database which is continuously maintained and updated to reflect the most recent changes.,FT
An end-user may use this system on any OS; either it is Windows or Linux.,PO
The logo and the current basic design of registration system should be displayed. The system should be attractive according to the clients. The design and the color should make users feel comfortable when using the system instead of flashing useless colors on the screen. The design should also reflect the seriousness of the environment.,LF
The system should be able to manage all the information incoming from the database and the catalogue.,O
The product is Web based therefore it will be used in any environment that allows Web access.,PO
For the system to successfully operate the registration system should be integrated with other IT services and the portal.,O
The system should need to be entirely self-supporting since the users would be using it only to register courses.,US
The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.,PO
"Everyone (stakeholders and guests) can have access to the system and the catalogue. Every client must have secure and private access to his/her data. The  and the service man can have access to every part of the system. All these accesses (except the ""guest tour"" access) require identification through ID and password.",SE
The system will develop a security system that will reduce to the minimum the possibility of corruption from systems and/or humans.,SE
The Operational Interface shall have a Mean Time Between Failures of no less than 7 days.,FT
The system shall be available 99.5% of the time.,A
The software system needs a robust security mechanism in place so that unauthorized users are not allowed access to parts of the system.,SE
Each user shall either be trusted or not trusted.,SE
All source code and development related documents shall be controlled under a version control system.,MN
All source code shall adhere to an agreed upon and well-defined set of coding standards for each development language used.,MN
Since the software must run on several popular hardware platforms and the goal is to achieve a reasonable level of platform independence.,PO
High level of performance requires high speed network and high level of connectivity.,PE
The available server must be reliable and the network connectivity in the supermarket should be proper for smooth flow of all operations and data.,O
Every user of the software is provided a unique login ID and a password which is stored in the database hashed by SHA2 algorithm.,SE
The software is available for use from the supermarket opening time to the closing time.,A
The system shall accommodate high number of items and users without any fault.,FT
System use shall not cause any harm to human users.,SE
System will use secured database,SE
Normal users can just read information but they cannot edit or modify anything except their personal and some other information.,SE
System will have different types of users and every user has access constraints.,SE
Customers must have a valid login id to enter into the site.,SE
The system is expected to have reasonable short time response. The voter should be able to login and should be able to get response for his requests in 2-3 seconds.,PE
The data transaction between client and server must be encrypted using SSL technology.,SE
All the passwords that are generated or accepted must be stored in database in an encrypted form.,SE
To prevent attacks the system should generate random word and ask the user to enter it correctly for multiple tryings.,SE
The system should warn ECA users about the malfunction of the system.,FT
The system should be simple to use,LF
All users of the system shall login using some form of unique identification.,SE
All login attempts shall be done so in a secure manner.,SE
The system shall be compatible with the Microsoft Windows Operating System.,O
The web application shall add no more than 5 seconds of perceivable overhead time to any necessary web and database transaction time.,PE
The system shall utilize HTTPS communication to ensure data confidentiality.,SE
User authentication and privileges are defined outside the scope of the sytem by the Microsoft Active Directroy Server.,SE
Personal information security is defined outside the scope of the SDMS by the database server.,SE
Users shall be required to log into the system for all operations except the operations on the login page.,SE
The system shall run on Windows Server 2003.,PO
The system shall be compatible with IIS6.0 and above or  Apache 2.0 and above.,PO
The system shall provide a uniform look and feel between all the web pages.,LF
The system shall provide a digital image for each product in the product catalog.,US
The system shall provide use of icons and toolbars.,US
The system shall provide handicap access.,US
The system shall provide multi language support.,US
The system shall provide a contractual agreement with an internet service provider for T3 access with 99.9999% availability.,A
The system shall provide a contractual agreement with an internet service provider who can provide 99.999% availability through their network facilities onto the internet.,A
The product shall be based on web and has to be run from a web server.,O
The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run.,PE
The performance shall depend upon hardware components of the client/customer.,PE
The system shall use secure sockets in all transactions that include any confidential customer information.,SE
The system shall automatically log out all customers after a period of inactivity.,SE
The system shall confirm all transactions with the customer's web browser.,US
The system shall not leave any cookies on the customer's computer containing the user's password.,SE
The system shall not leave any cookies on the customer's computer containing any of the user's confidential information.,SE
The customer's web browser shall never display a customer's password.  It shall always be echoed with special characters representing typed characters.,SE
The customer's web browser shall never display a customer's credit card number after retrieving from the database.  It shall always be shown with just the last 4 digits of the credit card number.,SE
The system's back-end servers shall never display a customer's password.  The customer's password may be reset but never shown.,SE
The system's back-end databases shall be encrypted.,SE
The system will use a single password per user to login to the E-Store System.,SE
The system shall use secure socket layer (SSL) technology to ensure all payments made online and user logins are secure.,SE
Any page of the application should not take more than 6 seconds to load on a DSL broadband connection.,PE
The system may be throttled or slowed down on heavy loads to ensure service for everybody. By throttling is meant that certain functionality may be unavailable during heavy server load.,PE
The application should be able to support 100 concurrent users without any performance degradation.,PE
The system should be able to scale up to 500 concurrent users (if there is a need in the future) by installing additional hardware components.,SC
The MTBF (if any) should not be less than 2 months.,A
A secure server will be required to ensure confidentiality of customer's credit card and other details.,SE
The user interface of the system should be very user friendly. ,US
It should not take more than 120 seconds for a new user to register for an account.,US
It should not take more than 90 seconds for a registered user to place an order.,US
The system should be easy enough to maintain that someone else could do it with a manual and a few hours training.,MN
The system should be portable to various operating environments.,PO
The entire website must be user-friendly and easily navigable. The website must be provided with a site map for quick access to a particular link according to the requirement specification. The user must be able to find what he/she wants from the site without any difficulty. The website must adhere to branding schemes and the layout of the web pages must be uniform throughout  ,US
The system shall support up to 10000 simultaneous users against the central database at any given time and up to 5000 simultaneous users against the local servers at any one time. The performance of the website must be optimal incase of huge loads and hence appropriate load balancing must be done to achieve this. There can be any number of mirror servers readily available in case of huge loads without the user getting any delay.,PE
The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,SE
